magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.9,17-02-2015 08:06,6,5,yellow,1,842,jp,0,0,0,Mww,1272,39.5234,143.1156,Asia,Japan
6.5,20-02-2015 13:25,1,1,green,0,678,jp,0,0,0,Mww,804,39.5476,143.4393,Asia,Japan
6.8,20-04-2015 10:42,5,5,yellow,1,801,jp,0,0,0,Mww,2221,23.5734,122.2564,Asia,Japan
6.4,20-04-2015 20:59,2,1,green,0,637,jp,0,0,0,Mww,2145,23.5603,122.2917,Asia,Japan
5.9,03-05-2015 01:50,5,5,yellow,1,432,jp,0,0,0,Mww,28,31.3104,140.2129,Asia,Japan
7.1,17-09-2015 07:54,6,6,yellow,1,924,us,0,0,0,Mww,22,-31.3437,-71.4046,Asia,Japan
7.1,14-11-2015 05:51,6,5,yellow,1,924,jp,0,0,0,Mww,17,30.5659,128.354,Asia,Japan
6.7,14-01-2016 12:25,2,2,green,0,760,jp,0,0,0,Mww,5151,41.5821,142.4807,Asia,Japan
5.8,22-02-2016 06:26,2,1,green,0,390,jp,0,0,0,Mww,11997,24.3652,143.2179,Asia,Japan
6.5,01-04-2016 11:39,2,1,green,0,678,jp,0,0,0,Mww,2871,33.194,136.2299,Asia,Japan
6.4,15-04-2016 00:03,2,1,green,0,637,jp,0,0,0,Mww,671,32.4204,130.4666,Asia,Japan
7.3,16-04-2016 01:25,5,6,yellow,1,1006,jp,0,0,0,Mww,1245,32.4527,130.4578,Asia,Japan
6.5,12-05-2016 12:17,1,2,green,0,678,jp,0,0,0,Mww,3674,24.3956,121.5542,Asia,Japan
6.4,12-05-2016 13:29,2,1,green,0,637,jp,0,0,0,Mww,31,24.4189,121.5986,Asia,Japan
6.2,24-06-2016 06:05,2,1,green,0,555,jp,0,0,0,Mww,5371,23.2984,123.1994,Asia,Japan
6.5,21-09-2016 01:21,2,2,green,0,678,jp,0,0,0,Mww,50,30.3311,142.1924,Asia,Japan
6.7,23-09-2016 09:14,1,1,green,0,760,jp,0,0,0,Mww,3181,34.2378,141.5063,Asia,Japan
7.4,22-11-2016 05:59,7,8,orange,1,1047,jp,0,0,0,Mww,2450,37.2128,141.3625,Asia,Japan
6.2,24-11-2016 06:23,2,2,green,0,555,jp,0,0,0,Mww,2379,37.1047,141.2074,Asia,Japan
7.2,09-12-2016 02:38,2,2,green,0,965,us,0,0,0,Mww,40,-10.4087,161.1964,Asia,Japan
6.8,17-12-2016 19:51,1,2,green,0,801,us,0,0,0,Mww,94,-4.3029,153.313,Asia,Japan
6.6,29-04-2017 05:23,2,1,green,0,719,us,0,0,0,Mww,26,5.3026,125.0395,Asia,Japan
6.4,09-05-2017 10:54,1,2,green,0,637,jp,0,0,0,Mww,7872,24.2262,126.1957,Asia,Japan
6.8,18-07-2017 08:34,1,2,green,0,801,us,0,0,0,Mww,10,54.266,168.5142,Asia,Japan
7.2,08-09-2017 13:49,1,1,green,0,965,us,0,0,0,Mww,47,15.0133,-93.5396,Asia,Japan
6.5,04-02-2018 22:56,1,1,green,0,678,jp,0,0,0,Mww,1008,24.0702,121.4224,Asia,Japan
6.7,07-02-2018 00:50,1,1,green,0,760,jp,0,0,0,Mww,975,24.0525,121.4066,Asia,Japan
5.7,06-05-2018 15:03,2,2,green,0,349,jp,0,0,0,Mww,14,31.1619,140.083,Asia,Japan
6.6,17-08-2018 03:23,1,2,green,0,719,jp,0,0,0,Mww,93,23.4195,143.1306,Asia,Japan
6.7,06-09-2018 03:07,1,2,green,0,760,jp,0,0,0,Mww,3704,42.4145,142.004,Asia,Japan
6.3,24-10-2018 01:04,2,2,green,0,596,jp,0,0,0,Mww,2839,23.5813,122.3616,Asia,Japan
6.3,05-11-2018 04:26,2,2,green,0,596,jp,0,0,0,Mww,2026,44.365,145.4839,Asia,Japan
5.7,28-11-2018 11:23,1,1,green,0,349,jp,0,0,0,Mww,1068,41.2021,143.1336,Asia,Japan
6.9,05-12-2018 13:18,1,2,green,0,842,us,0,0,0,Mww,10,-21.5698,169.256,Asia,Japan
6.9,21-12-2018 02:01,2,1,green,0,842,us,0,0,0,Mww,17,55.0599,164.4196,Asia,Japan
6.5,29-12-2018 12:39,1,1,green,0,678,us,0,0,0,Mww,60,5.539,126.5525,Asia,Japan
6,08-01-2019 21:39,2,1,green,0,473,jp,0,0,0,Mww,3005,30.3435,131.0987,Asia,Japan
6.5,18-04-2019 14:01,1,2,green,0,678,jp,0,0,0,Mww,2001,24.0065,121.3087,Asia,Japan
6.3,10-05-2019 08:48,2,2,green,0,596,jp,0,0,0,Mww,2546,31.4807,131.5847,Asia,Japan
6.7,18-06-2019 22:22,5,6,yellow,1,760,jp,0,0,0,Mww,1399,38.3648,139.2876,Asia,Japan
7,15-11-2019 01:17,1,1,green,0,883,us,0,0,0,Mww,33,1.3728,126.2494,Asia,Japan
